,Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year
15, Reflecting on the past and looking ahead.          ,Positive, Reflections  ,Facebook, #Reflection #Future                     ,20.0,40.0,USA,2023
16, Just adopted a cute furry friend! 🐾              ,Positive, PetAdopter   ,Instagram, #PetAdoption #FurryFriend               ,15.0,30.0,Canada,2023
17, Late-night gaming session with friends.            ,Positive, GamerX       ,Twitter, #Gaming #LateNight                      ,18.0,35.0,UK,2023
18, Attending a virtual conference on AI.              ,Neutral, TechConference,Facebook, #AI #TechConference                     ,25.0,50.0,USA,2023
19, Winter blues got me feeling low.                   ,Negative, WinterBlues  ,Instagram, #WinterBlues #Mood                      ,8.0,15.0,USA,2023
20, Sipping coffee and enjoying a good book.           ,Positive, Bookworm     ,Twitter, #Reading #CoffeeTime                    ,22.0,45.0,India,2023
21, Exploring the world of virtual reality.            ,Positive, VRExplorer   ,Facebook, #VR #VirtualReality                     ,15.0,30.0,USA,2023
22, Productive day ticking off my to-do list.          ,Positive, ProductivityPro,Instagram, #Productivity #WorkFromHome           ,30.0,60.0,USA,2023
23, Just finished a challenging workout routine.       ,Positive, FitnessWarrior,Twitter, #Fitness #ChallengeAccepted             ,20.0,40.0,UK,2023
24, Celebrating a milestone at work! 🎉               ,Positive, CareerMilestone,Facebook, #Career #Milestone                      ,12.0,25.0,Canada,2023
25, Sunday brunch with friends.                        ,Positive, BrunchBuddy  ,Instagram, #Brunch #Friends                       ,15.0,30.0,UK,2023
26, Learning a new language for personal growth.       ,Positive, LanguageLearner,Facebook, #LanguageLearning #PersonalGrowth       ,25.0,50.0,India,2023
27, Quiet evening with a good book.                    ,Positive, BookLover    ,Instagram, #Reading #QuietTime                     ,15.0,30.0,Australia,2023
28, Reflecting on the importance of mental health.     ,Positive, MentalHealthMatters,Twitter, #MentalHealth #SelfCare                 ,22.0,45.0,USA,2023
29, New painting in progress! 🎨                       ,Positive, ArtistInAction,Facebook, #Art #PaintingInProgress             ,12.0,25.0,Canada,2023
30, Weekend road trip to explore scenic views.         ,Positive, RoadTripper  ,Instagram, #RoadTrip #ScenicViews                  ,18.0,35.0,UK,2023
31, Enjoying a cup of tea and watching the sunset.     ,Positive, SunsetWatcher,Twitter, #TeaTime #Sunset                       ,15.0,30.0,India,2023
32, Coding a new project with enthusiasm.              ,Positive, CodeEnthusiast,Facebook, #Coding #Enthusiasm                   ,30.0,60.0,USA,2023
33, Feeling inspired after attending a workshop.       ,Positive, WorkshopAttendee,Instagram, #Inspiration #Workshop                  ,25.0,50.0,USA,2023
34, Winter sports day at the local park.               ,Positive, WinterSports  ,Twitter, #WinterSports #Fun                     ,15.0,30.0,Canada,2023
35, Quality time with family this weekend.             ,Positive, FamilyTime   ,Facebook, #FamilyTime #Weekend                    ,22.0,45.0,UK,2023
36, Attending a live music concert tonight.            ,Positive, MusicLover   ,Instagram, #Music #ConcertNight                  ,18.0,35.0,USA,2023
37, Practicing mindfulness with meditation.            ,Positive, MindfulMoments,Twitter, #Mindfulness #Meditation               ,15.0,30.0,India,2023
38, Trying out a new dessert recipe.                   ,Positive, DessertExplorer,Facebook, #Dessert #Cooking                      ,12.0,25.0,Canada,2023
39, Excited about the upcoming gaming tournament.      ,Positive, GamingEnthusiast,Instagram, #Gaming #Tournament                     ,30.0,60.0,USA,2023
40, Planning a garden makeover for spring.             ,Positive, GardenPlanner ,Twitter, #Gardening #Spring                     ,25.0,50.0,USA,2023
41, Celebrating a friend's birthday tonight! 🎂       ,Positive, BirthdayBash ,Facebook, #Birthday #Celebration                  ,15.0,30.0,UK,2023
42, Feeling accomplished after a productive day.       ,Positive, ProductivityWin,Instagram, #Accomplished #Success               ,22.0,45.0,India,2023
43, A cozy evening with a good movie.                 ,Positive, MovieNight   ,Twitter, #CozyNight #MovieTime                   ,18.0,35.0,Canada,2023
44, Exploring local art galleries this weekend.        ,Positive, ArtExplorer  ,Facebook, #Art #GalleryExplore                    ,15.0,30.0,USA,2023
45, New book release from my favorite author!          ,Positive, BookwormX    ,Instagram, #BookRelease #FavoriteAuthor           ,12.0,25.0,UK,2023
46, Attending a virtual reality meetup.                ,Positive, VRMeetup     ,Twitter, #VRMeetup #VirtualReality               ,28.0,55.0,India,2023
47, Reflecting on the beauty of nature.                ,Positive, NatureLover  ,Facebook, #Nature #Reflection                     ,15.0,30.0,Australia,2023
48, Cooking a special dinner for loved ones.           ,Positive, ChefAtHome   ,Instagram, #Cooking #SpecialDinner                ,20.0,40.0,USA,2023
49, Feeling optimistic about the week ahead.           ,Positive, OptimisticMindset,Twitter, #Optimism #NewWeek                     ,15.0,30.0,Canada,2023
50, Starting a new fitness challenge tomorrow! 💪     ,Positive, FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings       ,22.0,45.0,UK,2023
51, Sunday bike ride through scenic trails.           ,Positive, BikeExplorer  ,Instagram, #BikeRide #ScenicTrails                ,18.0,35.0,USA,2023
52, Can't believe the injustice happening in our society.,Anger, SocialJustice   ,Twitter, #Injustice #Angry                            ,20.0,40.0,Canada,2023
53, Feeling a sense of fear after watching a thriller movie. ,Fear, ThrillerFan     ,Instagram, #Fear #ThrillerMovie                         ,15.0,30.0,USA,2023
54, Heartbroken after hearing the news about a natural disaster. ,Sadness, EmpathyFirst    ,Facebook, #Sadness #NaturalDisaster                    ,25.0,50.0,India,2023
55, The state of the world's environment is just disgusting. ,Disgust, EcoAwareness    ,Twitter, #Disgust #Environment                        ,18.0,35.0,UK,2023
56, Pure happiness: celebrating a loved one's achievement! ,Happiness, ProudFriend     ,Instagram, #Happiness #Celebration                   ,30.0,60.0,USA,2023
57, Laughter is the best medicine—enjoying a comedy show. ,Joy, ComedyFan       ,Facebook, #Joy #ComedyShow                             ,22.0,45.0,Canada,2023
58, Sharing love and positive vibes with everyone! ❤️      ,Love, LoveSpreader    ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023
59, An amusing incident brightened up my day!               ,Amusement, AmusedSoul      ,Instagram, #Amusement #FunTimes                         ,18.0,35.0,UK,2023
60, Enjoying a quiet evening with a book and some tea.      ,Enjoyment, BookLoverAgain  ,Facebook, #Enjoyment #BookTime                         ,25.0,50.0,Canada,2023
61, Admiring the beauty of nature during a peaceful hike.   ,Admiration, NatureAdmirer   ,Twitter, #Admiration #Nature                         ,20.0,40.0,USA,2023
62, Sending affectionate vibes to all my followers!          ,Affection, AffectionSender ,Instagram, #Affection #PositiveVibes                   ,15.0,30.0,USA,2023
63, Experiencing awe at the breathtaking sunset.            ,Awe, AweStruck       ,Facebook, #Awe #Breathtaking                          ,22.0,45.0,Australia,2023
64, Disappointed with the service at a local restaurant.    ,Disappointed, FoodieGoneWrong ,Twitter, #Disappointed #BadService                   ,18.0,35.0,India,2023
65, A surprise gift from a friend made my day!              ,Surprise, HappySurprise   ,Instagram, #Surprise #Gift                              ,25.0,50.0,USA,2023
66, Finding acceptance in the midst of life's challenges.   ,Acceptance, AcceptanceSeeker,Facebook, #Acceptance #Challenges                     ,15.0,30.0,Canada,2023
67, Overflowing with adoration for my adorable pet! 🐾      ,Adoration, PetAdorer       ,Twitter, #Adoration #PetLove                         ,22.0,45.0,UK,2023
68, Anticipating a thrilling adventure in the coming weeks. ,Anticipation, AdventureAwaits  ,Instagram, #Anticipation #Adventure                    ,20.0,40.0,USA,2023
69, A bitter experience turned into a valuable lesson.      ,Bitter, LearnFromBitter ,Facebook, #BitterLesson #Growth                      ,18.0,35.0,USA,2023
70, Finding calmness in the midst of a busy day.            ,Calmness, ZenMaster       ,Twitter, #Calmness #PeacefulMind                    ,15.0,30.0,India,2023
71, Confusion clouds my mind as I navigate through decisions.,Confusion, ConfusedMind    ,Instagram, #Confusion #DecisionMaking                 ,25.0,50.0,UK,2023
72, Excitement building up for the upcoming vacation!       ,Excitement, VacationDreamer ,Facebook, #Excitement #TravelPlans                   ,22.0,45.0,Canada,2023
73, Kindness witnessed today restored my faith in humanity. ,Kind, KindnessPrevails,Twitter, #Kindness #Humanity                        ,20.0,40.0,USA,2023
74, Pride in achieving a personal milestone.               ,Pride, PersonalAchiever,Instagram, #Pride #Milestone                           ,30.0,60.0,Australia,2023
75, A moment of shame for not standing up against injustice. ,Shame, ReflectiveSelf  ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023
76, Fuming with anger after a heated argument.            ,Anger, AngryDebater    ,Twitter, #Anger #Argument                             ,20.0,40.0,Canada,2023
77, The fear of the unknown is keeping me up at night.    ,Fear, FearfulDreamer  ,Instagram, #Fear #Unknown                               ,15.0,30.0,USA,2023
78, Heartfelt sadness after bidding farewell to a dear friend. ,Sadness, FarewellHeart   ,Facebook, #Sadness #Farewell                          ,25.0,50.0,India,2023
79, The state of corruption in our society is utterly disgusting. ,Disgust, AntiCorruption  ,Twitter, #Disgust #Corruption                         ,18.0,35.0,UK,2023
80, Overflowing happiness: welcoming a new family member!  ,Happiness, NewParentJoy    ,Instagram, #Happiness #NewFamilyMember                 ,30.0,60.0,UK,2023
81, Laughter is the key to joy—attending a stand-up comedy show. ,Joy, StandUpFan      ,Facebook, #Joy #StandUpComedy                         ,22.0,45.0,Canada,2023
82, Sending love to all my followers on this beautiful day! ❤️ ,Love, LoveSender      ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023
83, Amused by the antics of my pet—it's pure amusement!      ,Amusement, PetAmuser       ,Instagram, #Amusement #PetAntics                       ,18.0,35.0,UK,2023
84, Enjoying every moment of this trip—pure enjoyment!      ,Enjoyment, TravelExplorer  ,Facebook, #Enjoyment #Travel                           ,25.0,50.0,USA,2023
85, Admiring the dedication of volunteers at a local charity. ,Admiration, CharityAdmirer  ,Twitter, #Admiration #Volunteers                     ,20.0,40.0,USA,2023
86, Sending affectionate vibes to friends and family.        ,Affection, FamilyLover     ,Instagram, #Affection #FamilyLove                      ,15.0,30.0,USA,2023
87, Awe-struck by the beauty of the night sky.               ,Awe, Stargazer       ,Facebook, #Awe #StarryNight                        ,22.0,45.0,Australia,2023
88, Disappointed with the lack of progress in a personal project. ,Disappointed, ProjectStruggle ,Twitter, #Disappointed #Project                     ,18.0,35.0,India,2023
89, A surprise visit from an old friend brought tears of joy. ,Surprise, JoyfulReunion   ,Instagram, #Surprise #OldFriends                       ,25.0,50.0,USA,2023
90, Embracing acceptance of life's ups and downs.           ,Acceptance, LifeAcceptance  ,Facebook, #Acceptance #LifeJourney                   ,15.0,30.0,Canada,2023
91, Overflowing adoration for a cute rescue puppy! 🐶       ,Adoration, PuppyAdmirer    ,Twitter, #Adoration #PuppyLove                       ,22.0,45.0,UK,2023
92, Anticipating the release of a much-awaited movie.       ,Anticipation, MovieBuff2      ,Instagram, #Anticipation #MovieRelease                 ,20.0,40.0,Australia,2023
93, Bitter experience at the customer service department.   ,Bitter, CustomerWoes    ,Facebook, #BitterExperience #CustomerService         ,18.0,35.0,USA,2023
94, Finding calmness amidst the chaos of daily life.        ,Calmness, CalmSoul        ,Twitter, #Calmness #InnerPeace                      ,15.0,30.0,India,2023
95, Confusion reigns as I try to make sense of recent events.,Confusion, ConfusedMind2   ,Instagram, #Confusion #MakingSense                    ,25.0,50.0,UK,2023
96, Excitement building up for a surprise birthday party.   ,Excitement, BirthdayExcite  ,Facebook, #Excitement #SurpriseParty                 ,22.0,45.0,Canada,2023
97, Witnessed an act of kindness that made my day.          ,Kind, KindnessObserver,Twitter, #Kindness #ActsOfKindness                  ,20.0,40.0,USA,2023
98, Pride in completing a challenging fitness challenge.    ,Pride, FitAchiever     ,Instagram, #Pride #FitnessChallengeCompleted          ,30.0,60.0,UK,2023
99, A moment of shame for not speaking up against injustice.,Shame, ReflectiveSelf2 ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023
100, Reflecting on the beauty of diversity in our world.     ,Acceptance, DiversityLover  ,Twitter, #Acceptance #Diversity                      ,22.0,45.0,Australia,2023
101, Excitement for a quiet evening with a good book.        ,Excitement, BookwormJoy     ,Instagram, #Excitement #BookTime                       ,18.0,35.0,USA,2023
102, Feeling bitter about the unfairness in the workplace.   ,Bitter, WorkplaceWoes   ,Twitter, #Bitter #Unfairness                         ,15.0,30.0,Canada,2023
103, Calmness prevails as I practice mindfulness.            ,Calmness, MindfulMe       ,Facebook, #Calmness #Mindfulness                      ,15.0,30.0,UK,2023
104, Confusion surrounds me as I navigate through life's choices. ,Confusion, ConfusedMind3   ,Instagram, #Confusion #LifeChoices                     ,30.0,60.0,USA,2023
105, Excitement for a weekend road trip to explore new places. ,Excitement, RoadTripper2    ,Twitter, #Excitement #WeekendAdventure               ,25.0,50.0,India,2023
106, Kindness witnessed today restores my faith in humanity.  ,Kind, KindnessPrevails2,Facebook, #Kindness #HumanityRestored                 ,22.0,45.0,USA,2023
107, Pride in accomplishing personal and professional goals.  ,Pride, GoalAchiever    ,Instagram, #Pride #Accomplishments                     ,12.0,25.0,Canada,2023
108, Shame for not being true to my values in a difficult situation.,Shame, ReflectiveSelf3 ,Twitter, #Shame #Integrity                           ,15.0,30.0,UK,2023
109," Revisiting old memories, feeling a sense of elation. ",Elation, NostalgiaFan    ,Twitter, #Elation #Memories                             ,20.0,40.0,Canada,2010
110, The victory of our team brought euphoria to the city. ,Euphoria, SportsFanatic   ,Instagram, #Euphoria #Victory                             ,15.0,30.0,USA,2021
111," Embracing the beauty of nature, a moment of contentment. ",Contentment, NatureLover2    ,Facebook, #Contentment #Nature                           ,25.0,50.0,India,2011
112," Meditating by the serene lake, finding inner peace.   ",Serenity, ZenMaster2      ,Twitter, #Serenity #Meditation                          ,18.0,35.0,UK,2022
113, Overflowing with gratitude for life's blessings.      ,Gratitude, ThankfulHeart   ,Instagram, #Gratitude #Blessed                            ,30.0,60.0,Australia,2012
114," Hopeful for a brighter tomorrow, despite challenges.  ",Hope, OptimisticSoul  ,Facebook, #Hope #Optimism                                ,22.0,45.0,USA,2013
115, Empowered to make a difference in my community.        ,Empowerment, CommunityLeader ,Twitter, #Empowerment #Community                        ,15.0,30.0,UK,2014
116, Compassion in action: supporting a local charity event. ,Compassion, CharitySupporter,Instagram, #Compassion #CharityEvent                   ,18.0,35.0,Canada,2015
117," A moment of tenderness, connecting with loved ones.    ",Tenderness, LovingHeart     ,Facebook, #Tenderness #FamilyTime                       ,25.0,50.0,UK,2016
118, Arousal of excitement as I await a special announcement.,Arousal, ExcitementFan   ,Twitter, #Arousal #Excitement                           ,20.0,40.0,Australia,2017
119, Enthusiastically diving into a new project.            ,Enthusiasm, ProjectEnthusiast,Instagram, #Enthusiasm #NewProject                       ,15.0,30.0,USA,2018
120, Feeling a sense of fulfillment after reaching a milestone.,Fulfillment, MilestoneAchiever,Facebook, #Fulfillment #Milestone                       ,22.0,45.0,India,2019
121, Reverence for the beauty of a historic landmark.       ,Reverence, HistoryLover    ,Twitter, #Reverence #History                           ,18.0,35.0,UK,2019
122, Elation after a surprise reunion with old friends.    ,Elation, JoyfulReunion2  ,Instagram, #Elation #OldFriends                          ,25.0,50.0,Canada,2020
123, The euphoria of a live music concert under the stars.  ,Euphoria, MusicEnthusiast ,Facebook, #Euphoria #LiveMusic                          ,15.0,30.0,USA,2021
124, Contentment in the simplicity of a quiet Sunday.       ,Contentment, SimpleJoys      ,Twitter, #Contentment #SundayMood                      ,30.0,60.0,Australia,2010
125, Serenity found in the pages of a favorite book.        ,Serenity, BookLover3      ,Instagram, #Serenity #BookTime                           ,22.0,45.0,UK,2011
126, Gratitude for the support received during tough times. ,Gratitude, SupportiveFriend,Facebook, #Gratitude #Supportive                        ,15.0,30.0,India,2012
127, Hopeful about the possibilities of a new journey.      ,Hope, JourneyOptimist ,Twitter, #Hope #NewBeginnings                          ,18.0,35.0,Canada,2013
128, Empowerment through learning and personal growth.      ,Empowerment, GrowthSeeker    ,Instagram, #Empowerment #PersonalGrowth                  ,25.0,50.0,USA,2014
129, Compassion towards those in need during the holidays.  ,Compassion, HolidayHelper   ,Facebook, #Compassion #HolidaySupport                   ,18.0,35.0,USA,2015
130, Tenderness in the warmth of a cozy winter evening.     ,Tenderness, WinterWarmth    ,Twitter, #Tenderness #CozyEvening                     ,25.0,50.0,UK,2016
131, Arousal of excitement for an upcoming adventure.       ,Arousal, AdventureAwaits ,Instagram, #Arousal #AdventureTime                       ,20.0,40.0,Australia,2017
132, Enthusiasm for a creative project in the making.       ,Enthusiasm, CreativeSpirit  ,Facebook, #Enthusiasm #Creativity                       ,15.0,30.0,Canada,2018
133, Fulfillment in completing a challenging workout routine.,Fulfillment, FitnessAchiever ,Twitter, #Fulfillment #FitnessGoals                   ,22.0,45.0,India,2019
134, Reverence for the artistry displayed in a museum.      ,Reverence, ArtAppreciator  ,Instagram, #Reverence #ArtAppreciation                  ,18.0,35.0,UK,2020
135, Elation after achieving a personal goal.               ,Elation, GoalAchiever2   ,Facebook, #Elation #PersonalAchievement                ,25.0,50.0,USA,2021
136, Elation over discovering a hidden gem in the city.   ,Elation, UrbanExplorer2  ,Twitter, #Elation #HiddenGem                            ,20.0,40.0,USA,2012
137, The euphoria of a surprise birthday celebration.     ,Euphoria, BirthdayJoy     ,Instagram, #Euphoria #BirthdaySurprise                   ,15.0,30.0,UK,2018
138, Contentment in the simplicity of a home-cooked meal. ,Contentment, HomeChef        ,Facebook, #Contentment #HomeCooking                     ,25.0,50.0,India,2015
139, Serenity found in the melody of a peaceful piano.    ,Serenity, MusicLover4     ,Twitter, #Serenity #PeacefulMelody                    ,18.0,35.0,Canada,2016
140, Gratitude for the supportive community around me.    ,Gratitude, CommunityLove   ,Instagram, #Gratitude #CommunitySupport                   ,30.0,60.0,USA,2013
141, Hopeful about the prospects of a new business venture.,Hope, EntrepreneurHope,Facebook, #Hope #BusinessVenture                        ,22.0,45.0,Canada,2017
142, Empowerment through mentoring and guiding others.    ,Empowerment, MentorEmpower   ,Twitter, #Empowerment #Mentorship                      ,15.0,30.0,UK,2014
143, Compassion shown through acts of kindness in the community.,Compassion, KindnessInAction,Instagram, #Compassion #CommunityKindness               ,18.0,35.0,Australia,2019
144, Tenderness in a heartfelt message to a loved one.    ,Tenderness, LoveExpress     ,Facebook, #Tenderness #LoveNote                         ,25.0,50.0,UK,2016
145, Arousal of excitement before a much-awaited trip.    ,Arousal, TravelExcitement,Twitter, #Arousal #TravelAdventure                     ,20.0,40.0,India,2018
146, Enthusiasm for a new artistic project in the works.  ,Enthusiasm, ArtisticSpirit  ,Instagram, #Enthusiasm #ArtisticProject                 ,15.0,30.0,USA,2020
147, Feeling a sense of fulfillment after helping others. ,Fulfillment, HelperHeart     ,Facebook, #Fulfillment #HelpingOthers                  ,22.0,45.0,Canada,2011
148, Reverence for the historical significance of a landmark.,Reverence, HistoryBuff     ,Twitter, #Reverence #HistoricalSite                   ,18.0,35.0,Australia,2017
149, Elation after achieving a fitness milestone.         ,Elation, FitnessAchiever2,Instagram, #Elation #FitnessMilestone                   ,25.0,50.0,UK,2019
150, The euphoria of a successful product launch.         ,Euphoria, ProductLaunchJoy,Facebook, #Euphoria #ProductLaunchSuccess              ,15.0,30.0,USA,2022
151, Contentment in the embrace of a loved one.           ,Contentment, LovingEmbrace   ,Twitter, #Contentment #Love                             ,30.0,60.0,India,2010
152, Serenity found in the beauty of a sunset by the sea.  ,Serenity, SunsetWatcher2  ,Instagram, #Serenity #SunsetViews                       ,22.0,45.0,Canada,2011
153, Gratitude for the small joys that each day brings.   ,Gratitude, JoyfulHeart2    ,Facebook, #Gratitude #SmallJoys                        ,15.0,30.0,Australia,2012
154, Hopeful about the potential for personal growth.      ,Hope, GrowthOptimist  ,Twitter, #Hope #PersonalDevelopment                    ,18.0,35.0,UK,2013
155, Empowerment through learning a new skill.            ,Empowerment, SkillEmpower    ,Instagram, #Empowerment #SkillBuilding                   ,25.0,50.0,India,2014
156, Compassion in volunteering for a local charity.       ,Compassion, CharityVolunteer,Facebook, #Compassion #VolunteerWork                   ,18.0,35.0,USA,2015
157, Tenderness in a quiet moment shared with a pet.      ,Tenderness, PetLove         ,Twitter, #Tenderness #PetLove                          ,25.0,50.0,Canada,2016
158, Arousal of excitement for an upcoming festival.       ,Arousal, FestivalFan     ,Instagram, #Arousal #FestivalExcitement               ,20.0,40.0,UK,2017
159, Enthusiasm for a DIY home improvement project.       ,Enthusiasm, DIYEnthusiast   ,Facebook, #Enthusiasm #HomeImprovement                 ,15.0,30.0,Australia,2018
160, Fulfillment in completing a challenging puzzle.      ,Fulfillment, PuzzleMaster    ,Twitter, #Fulfillment #PuzzleChallenge                ,22.0,45.0,India,2019
161, Reverence for the wonders of nature on a hiking trail.,Reverence, NatureAdmirer   ,Instagram, #Reverence #NatureExploration                ,18.0,35.0,USA,2020
162, Elation after a surprise reunion with a childhood friend.,Elation, ChildhoodJoy    ,Facebook, #Elation #FriendshipReunion                  ,25.0,50.0,Canada,2021
163, Suffering from despair after another setback.      ,Despair, StrugglingSoul    ,Twitter, #Despair #Struggle                              ,5.0,10.0,USA,2021
164," Overwhelmed by grief, missing a loved one dearly.  ",Grief, MourningHeart     ,Instagram, #Grief #Loss                                   ,8.0,15.0,Canada,2022
165, Loneliness creeps in as the night grows colder.    ,Loneliness, SolitarySoul      ,Facebook, #Loneliness #Isolation                         ,10.0,20.0,UK,2019
166, Jealousy consumes me as I witness others' success. ,Jealousy, EnviousObserver   ,Twitter, #Jealousy #Envy                               ,12.0,25.0,India,2020
167, Resentment building up over past betrayals.        ,Resentment, BitterHeart       ,Instagram, #Resentment #Bitterness                       ,7.0,15.0,Australia,2018
168, Frustration mounts as obstacles block my path.     ,Frustration, BlockedGoals      ,Facebook, #Frustration #Obstacles                       ,10.0,20.0,USA,2017
169," Boredom sets in, the day feels endlessly dull.     ",Boredom, BoredMind         ,Twitter, #Boredom #LackOfInterest                     ,8.0,15.0,Canada,2016
170," Anxiety grips my heart, worry clouds my thoughts.  ",Anxiety, WorriedMind       ,Instagram, #Anxiety #Worry                               ,12.0,25.0,UK,2019
171, Intimidation by the unknown future ahead.          ,Intimidation, FearfulSoul       ,Facebook, #Intimidation #Fear                           ,15.0,30.0,India,2021
172, Helplessness sinks in as challenges pile up.       ,Helplessness, OverwhelmedHeart  ,Twitter, #Helplessness #Overwhelmed                    ,8.0,15.0,Australia,2020
173, Envy eats away at me as I see others' prosperity.  ,Envy, CovetousMind     ,Instagram, #Envy #Desire                                ,10.0,20.0,Canada,2018
174, Regret over missed opportunities haunts my thoughts.,Regret, RemorsefulSoul   ,Facebook, #Regret #MissedChances                       ,12.0,25.0,UK,2017
175, Disgust at the sight of injustice and cruelty.     ,Disgust, DisgustedHeart   ,Twitter, #Disgust #Injustice                          ,7.0,15.0,India,2019
176," Drowning in despair, hope slipping through my fingers.",Despair, HopelessHeart    ,Instagram, #Despair #Hopeless                           ,10.0,20.0,USA,2016
177," Grief weighs heavy, tears a constant companion.    ",Grief, TearfulSoul      ,Facebook, #Grief #Tears                                ,12.0,25.0,Canada,2015
178," Loneliness in a crowded room, a silent cry for connection.",Loneliness, IsolatedMind     ,Twitter, #Loneliness #SeekingConnection              ,15.0,30.0,UK,2019
179," Jealousy gnaws at my confidence, a toxic emotion.  ",Jealousy, SelfDoubt        ,Instagram, #Jealousy #Insecurity                       ,8.0,15.0,India,2018
180," Resentment festers, poisoning relationships.       ",Resentment, BrokenTrust      ,Facebook, #Resentment #BrokenTrust                     ,10.0,20.0,Australia,2022
181," Frustration boils over, a volcanic eruption of emotions.",Frustration, ExplosiveMind    ,Twitter, #Frustration #EmotionalOutburst             ,12.0,25.0,USA,2017
182," Boredom settles like dust, life feels mundane.     ",Boredom, MundaneHeart     ,Instagram, #Boredom #Monotony                          ,7.0,15.0,Canada,2016
183," Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety, RestlessMind     ,Facebook, #Anxiety #Restlessness                      ,10.0,20.0,UK,2018
184," Intimidation by the challenges ahead, fear takes hold.",Intimidation, FearfulJourney   ,Twitter, #Intimidation #FacingFear                   ,15.0,30.0,India,2021
185," Helplessness engulfs me, drowning in a sea of problems.",Helplessness, OverwhelmedSoul  ,Instagram, #Helplessness #Struggling                   ,8.0,15.0,Australia,2019
186," Envy poisons my thoughts, coveting others' success.",Envy, GreenEyedMonster ,Facebook, #Envy #Success                              ,10.0,20.0,Canada,2017
187, Regret for decisions that led to a painful present.,Regret, RegretfulMind    ,Twitter, #Regret #PastChoices                        ,12.0,25.0,USA,2018
188, Disgust at the corruption that stains society.     ,Disgust, CorruptedHeart   ,Instagram, #Disgust #Corruption                        ,7.0,15.0,UK,2016
189," Sinking in despair, each day darker than the last. ",Despair, DrowningSoul     ,Facebook, #Despair #DarkDays                          ,10.0,20.0,India,2020
190," Grief overwhelms, a storm of emotions within.      ",Grief, StormyHeart      ,Twitter, #Grief #EmotionalStorm                      ,12.0,25.0,Canada,2021
191," Loneliness echoes in empty spaces, yearning for connection.",Loneliness, EchoingSoul     ,Instagram, #Loneliness #YearningForConnection         ,15.0,30.0,Australia,2019
192," Jealousy poisons my thoughts, resentment brewing within.",Jealousy, PoisonedMind    ,Facebook, #Jealousy #Resentment                       ,8.0,15.0,USA,2018
193," Resentment festers, a wound that refuses to heal.  ",Resentment, UnforgivingSoul  ,Twitter, #Resentment #Unforgiving                    ,10.0,20.0,India,2017
194," Frustration escalates, a thunderstorm of emotions. ",Frustration, ThunderingMind   ,Instagram, #Frustration #EmotionalOutburst            ,12.0,25.0,UK,2022
195," Boredom lingers, a stagnant pool of indifference.  ",Boredom, StagnantHeart    ,Facebook, #Boredom #Stagnation                        ,7.0,15.0,Canada,2021
196," Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",Curiosity, InquisitiveMind   ,Twitter, #Curiosity #Learning                        ,15.0,30.0,USA,2023
